time,curpos_x,curpos_y,curpos_z,curpos_a,curpos_c,mpt,melt_pool_area,outpower
2025-08-27 11:16:55.533,-31.311,18.861,53.72,-33.245,-3.019,1595.323341202748,,503.08774505642526
2025-08-27 11:16:55.566,43.099,44.764,31.957,132.333,104.82,1592.0624307912726,,494.0601880168082
2025-08-27 11:16:55.626,48.086,73.842,38.979,144.489,141.295,1611.2464154786737,,495.57618099414174
2025-08-27 11:16:55.658,38.664,51.659,110.258,-15.903,68.332,1455.9901902540419,,493.3058095908806
2025-08-27 11:16:55.720,43.433,25.808,67.378,166.329,92.133,1502.9579891671647,,507.6535400861203
2025-08-27 11:16:55.752,53.091,-0.237,34.478,-19.273,92.031,1634.7711523362489,,509.51180221716095
2025-08-27 11:16:55.814,44.664,198.144,-11.591,107.678,24.804,1632.6046020883548,,515.2737032197377
2025-08-27 11:16:55.845,111.164,-6.991,89.192,43.7,9.764,1691.0215528439535,,515.0609126780076
2025-08-27 11:16:55.908,89.692,-22.668,69.414,0.279,-26.182,1651.999941208185,,498.89458650861377
2025-08-27 11:16:55.939,78.652,30.833,92.082,-30.28,60.71,1640.1970537791863,,503.71310233448366
2025-08-27 11:16:56.001,28.453,-40.318,21.102,107.963,-60.625,1622.5751326108043,,494.7579272845629
2025-08-27 11:16:56.032,105.968,53.83,78.905,106.507,100.966,1699.0196347168653,,508.7495957505376
2025-08-27 11:16:56.094,183.543,-0.725,43.987,16.602,52.521,1584.1013593810806,,497.2008076682941
2025-08-27 11:16:56.125,16.42,22.938,88.615,39.456,138.124,1599.625518867623,,480.74053781522804
2025-08-27 11:16:56.189,72.584,66.515,78.449,66.378,3.17,1471.0753688456211,,499.4716604004104
2025-08-27 11:16:56.219,56.402,48.378,37.588,18.683,71.74,1401.058471719673,,512.7734821230551
2025-08-27 11:16:56.281,146.747,21.197,179.965,85.151,127.799,1649.4320911074628,,492.9627209166791
2025-08-27 11:16:56.312,36.23,-4.589,141.317,33.17,103.602,1507.0708893957094,,500.2613912151552
2025-08-27 11:16:56.373,48.739,92.436,15.121,156.024,34.648,1674.6045871734805,,508.3699871665593
2025-08-27 11:16:56.404,57.994,98.07,53.757,109.694,61.876,1712.5624824353235,,496.04679235392774
2025-08-27 11:16:56.468,21.599,53.648,51.144,47.178,133.086,1581.3943080273343,,494.64996475033314
2025-08-27 11:16:56.498,129.917,78.42,82.361,127.28,50.531,1671.643231126436,,501.95148814317787
2025-08-27 11:16:56.560,30.572,78.632,7.914,53.45,104.349,1531.6162344800634,,487.4956439803096
2025-08-27 11:16:56.592,29.463,35.074,24.268,-14.836,88.827,1632.0191138047962,,501.4589322242866
2025-08-27 11:16:56.654,9.354,66.92,-1.117,39.741,47.119,1496.19674386783,,511.4574057434418
2025-08-27 11:16:56.717,146.156,100.779,153.985,32.811,109.628,1612.1118251370528,,490.1673125983117
2025-08-27 11:16:56.751,-26.546,48.559,84.143,110.977,12.831,1642.8380255767,,490.8202067453806
