time,curpos_x,curpos_y,curpos_z,curpos_a,curpos_c,mpt,melt_pool_area,outpower
2025-08-27 10:42:11.246,52.776,139.079,81.745,59.304,30.819,1543.246697574769,,487.2042284857866
2025-08-27 10:42:11.246,52.776,139.079,81.745,59.304,30.819,1543.246697574769,,487.2042284857866
2025-08-27 10:42:11.302,61.379,93.352,26.832,-8.801,2.925,1677.8286825614973,,504.00158643343804
2025-08-27 10:42:11.370,72.894,41.076,50.176,42.404,21.469,1683.5998649477822,,515.806497027415
2025-08-27 10:42:11.403,110.793,160.552,-22.603,53.601,27.737,1752.9068606514275,,502.94582573577276
2025-08-27 10:42:11.465,0.174,106.148,177.962,47.574,83.69,1643.3814219581145,,501.40935762180925
2025-08-27 10:42:11.496,146.546,61.061,-2.725,-14.992,69.599,1559.6072829474379,,523.017983737227
2025-08-27 10:42:11.559,61.229,65.183,79.728,-34.261,94.98,1641.6640207027422,,499.8034152378447
2025-08-27 10:42:11.590,181.007,104.253,27.447,92.342,39.221,1658.1977733141262,,504.7030269261407
2025-08-27 10:42:11.653,69.89,106.69,76.864,64.397,72.626,1648.628885830394,,521.766382205007
2025-08-27 10:42:11.684,17.042,52.051,-40.252,44.29,57.153,1696.32168302691,,501.79326684327356
2025-08-27 10:42:11.747,-61.244,116.828,19.543,61.171,75.487,1691.7346256137325,,500.96572456332444
2025-08-27 10:42:11.779,-35.006,35.898,33.511,-52.728,32.807,1536.9004513813968,,486.5496976632064
2025-08-27 10:42:11.841,119.029,20.866,104.553,47.102,20.0,1529.8883758137413,,479.5191955324878
2025-08-27 10:42:11.871,20.837,113.143,59.037,40.371,93.92,1818.9998078117358,,508.2947694810414
2025-08-27 10:42:11.934,78.874,26.269,92.388,-37.186,18.341,1795.324899838146,,497.5584558328545
2025-08-27 10:42:11.965,-14.607,83.345,-50.612,-1.502,83.921,1483.2751365532606,,483.4870964202672
2025-08-27 10:42:12.027,48.969,-9.577,16.64,73.09,34.855,1642.0404922153991,,501.8535561466592
2025-08-27 10:42:12.059,47.742,136.067,134.989,63.662,90.118,1780.6535361169877,,512.1085098718123
2025-08-27 10:42:12.122,41.516,121.262,6.727,56.649,67.636,1775.7803559136225,,495.1724560482091
2025-08-27 10:42:12.154,-6.754,19.571,39.837,67.24,106.506,1576.3242175032583,,500.04141576252147
2025-08-27 10:42:12.217,135.609,34.896,-56.055,43.821,92.35,1528.6167832570536,,501.75054987759944
2025-08-27 10:42:12.249,-49.986,-72.965,105.526,89.328,91.57,1642.704701214736,,527.7987132654583
2025-08-27 10:42:12.312,-14.818,-0.475,113.596,79.21,36.042,1728.2888696396294,,507.1633875876383
2025-08-27 10:42:12.342,21.658,120.255,-6.149,15.112,62.648,1436.2082661217305,,502.2636178904355
2025-08-27 10:42:12.406,45.375,73.261,100.92,26.559,33.536,1334.6166822514106,,506.9282207063644
2025-08-27 10:42:12.437,74.298,-52.019,10.837,106.873,89.029,1535.8771498236813,,503.00218605702054
